"input","output","date","conv_id","user_id","channel_source","intencion","tipo_queja"
"no puedo esperar a que llegue su fecha de vencimiento necesito cambiarla ahora","Entiendo que quieras cambiar tu tarjeta virtual de inmediato, pero en Hey Banco el proceso de renovación de la tarjeta virtual es automático y no se puede adelantar manualmente. Esto es para garantizar la seguridad y el correcto funcionamiento de tu tarjeta.

Si necesitas hacer alguna compra urgente y tienes problemas con tu tarjeta virtual actual, te recomiendo revisar si tu tarjeta física está activa o si puedes usar otra forma de pago temporalmente.

¿Quieres que te ayude con alguna otra opción o información sobre tus productos Hey?",2025-08-23,"0075e69c-8aaf-4836-a131-db7475349444","USR-07247",1,"queja","bloqueo"
"necesito cancelar un cargo recurrente pero no puedo ni con ustedes ni con la otra empresa y no voy a estar perdiendo dinero porque no me ayudan ni siquiera bloqueando la tarjeta virtual me dejan de quitar el dinero entonces realmente no funciona como deberia ni tanta seguridad que dicen tener si no me pueden resolver algo tan simple como cambiar mi tarjeta virtual entonces tendre que cancelar mi cuenta y mudarme a otro banco","Lamento que estés pasando por esa situación. Para cancelar un cargo recurrente o domiciliado, lo que debes hacer es ponerte en contacto directamente con el comercio que realiza el cargo y pedir que lo cancelen, ya que ni el banco ni el bloqueo de la tarjeta virtual pueden detener esos cargos automáticamente.

Si el comercio no responde o tienes problemas, lo ideal es que sigas insistiendo con ellos para que cancelen la domiciliación. Mientras tanto, bloquear la tarjeta virtual puede ayudar a evitar nuevos cargos, pero no cancela los cargos ya autorizados.

¿Quieres que te ayude con alguna otra duda o información sobre tus productos Hey?",2025-08-23,"0075e69c-8aaf-4836-a131-db7475349444","USR-07247",1,"queja","bloqueo"
"bueno si no puedo cancelar o cambiar mi tarjeta virtual entonces tendre que cancelar mi cuenta con usted muchas gracias","Lamento mucho que te sientas así y entiendo lo frustrante que puede ser esta situación. En Hey Banco trabajamos para ofrecerte la mejor experiencia y seguridad, y aunque la tarjeta virtual tiene ciertas limitaciones para proteger tus pagos, estamos aquí para apoyarte en lo que necesites.

Si decides cancelar tu cuenta, recuerda que siempre puedes hacerlo, pero también me gustaría ayudarte a encontrar una solución que te funcione mejor antes de llegar a ese punto. Por ejemplo, podemos revisar juntos otras opciones de seguridad o productos que se ajusten a tus necesidades.

¿Quieres que te explique más sobre estas opciones o te ayude con algún otro producto? Estoy aquí para apoyarte.",2025-08-23,"0075e69c-8aaf-4836-a131-db7475349444","USR-07247",1,"queja","bloqueo"
"cargo rechazado","Lamento escuchar eso. Si tu cargo ha sido rechazado, hay varias razones que podrían estar detrás de esto. Te recomiendo que verifiques lo siguiente:

1. Asegúrate de que la información de la tarjeta que ingresaste sea correcta, incluyendo el NIP y el CVV.
2. Revisa si tienes saldo suficiente en tu cuenta.
3. Verifica si hay algún bloqueo de emergencia en la app.
4. Asegúrate de que los parámetros de compras en la app estén configurados correctamente.

Si después de revisar todo esto sigues teniendo problemas, no dudes en preguntar. Estoy aquí para ayudarte. ¿Hay algo más con lo que te pueda apoyar?",2025-08-30,"00c6e47b-ef6a-4cda-952e-df513168fbc2","USR-03295",1,"queja","tarjeta rechazada"
"cargo domiciliado rechazado el dia hrs","Lamento escuchar eso. Para cancelar un cargo domiciliado que ha sido rechazado, simplemente debes ponerte en contacto con el comercio que realizó el cargo y solicitar que lo cancelen. Ellos podrán ayudarte a resolver la situación.

Si tienes alguna otra duda o necesitas más información sobre algún otro tema, no dudes en decírmelo. ¡Estoy aquí para ayudarte!",2025-08-30,"00c6e47b-ef6a-4cda-952e-df513168fbc2","USR-03295",1,"queja","tarjeta rechazada"
"porque el cargo de netflix fue rechazado","Lamento escuchar eso. Si el cargo de Netflix fue rechazado, puede deberse a varias razones:

1. **Saldo Insuficiente**: Asegúrate de que tienes suficiente saldo en tu cuenta para cubrir el cargo.
2. **Información Incorrecta**: Verifica que la información de tu tarjeta, como el NIP y el CVV, sea correcta.
3. **Bloqueo de Emergencia**: Revisa en la app si hay algún bloqueo de emergencia en tu tarjeta.
4. **Parámetros de Compras**: Asegúrate de que los parámetros de compras en la app estén configurados correctamente.

Si después de revisar todo esto sigues teniendo problemas, no dudes en preguntar. Estoy aquí para ayudarte. ¿Hay algo más con lo que te pueda apoyar?",2025-08-30,"00c6e47b-ef6a-4cda-952e-df513168fbc2","USR-03295",1,"queja","tarjeta rechazada"
"tengo problemas con una transferencia","¿  Podrías  explicarme  un  poco  más  sobre  el  problema  que  estás  experimentando  con  la  transferencia ?  ¿  Cuál  es  el  monto y  la  cuenta  de  destino ?",2025-11-08 05:56:43.003446,"010828c7-12ee-4c34-9096-b2b0892e8457","USR-11123",2,"queja","problemas transferencias"
"si no me deja hacerlo me arroja un error","Lamento que estés teniendo ese inconveniente. Si al intentar transferir deuda a tu Tarjeta de Crédito Hey te aparece un error, te recomiendo verificar primero que tengas saldo disponible suficiente para cubrir la transferencia. También asegúrate de que los datos que ingresaste sean correctos.

Si el problema persiste, puede ser por algún detalle técnico temporal en la app o banca electrónica. En ese caso, intenta realizar la operación más tarde. Si necesitas, puedo ayudarte a revisar otras opciones o aclarar cualquier duda que tengas sobre tu tarjeta.

¿Quieres que te apoye con algo más?",2025-10-31,"0112ff7c-4519-4fd9-bf78-dc8e887e4890","USR-06857",1,"queja","error tecnico"
"no puedo retirar en hsbc","Lamento escuchar eso. Si tienes problemas para retirar en HSBC, te recomendaría verificar si tu tarjeta está activa y si tienes fondos suficientes en tu cuenta. 

Si necesitas realizar un retiro, recuerda que también puedes hacerlo sin tarjeta utilizando la app de Hey Banco o en un OXXO con tu tarjeta de débito. Si tienes alguna otra pregunta o necesitas más información, ¡estaré encantado de ayudarte!",2025-11-05,"01831d4f-d827-4b1c-a9fa-398b04195564","USR-11219",1,"queja","bloqueo"
"pues me parece super mal que dejen poner un usuario parecido quien me asegura que no vaya a entrar a mi cuenta si llegara dar con mi contrasena y no no la pienso cambiar este es un problema a de ustedes pro asignar un usuario parecido","Lamento escuchar eso. Entiendo tus preocupaciones sobre la seguridad de tu cuenta. Hey Banco implementa medidas de seguridad robustas para proteger la información de todos sus usuarios. Además, puedes activar el seguro de Protección Hey, que cubre hasta $65,000 pesos en caso de uso indebido de tu tarjeta por robo o pérdida.

Es importante que mantengas tu información de acceso segura y no la compartas con nadie. Si sientes que tu cuenta ha sido comprometida, te recomiendo que contactes al centro de atención a clientes de inmediato para que puedan ayudarte a resolver cualquier problema.

Si tienes más preguntas o necesitas más información, ¡aquí estoy para ayudarte!",2025-11-05,"0312D73A-FCD4-414C-B178-97FD3310E4E9","USR-09002",1,"queja","problemas acceso"
"eso no puedo verlo dentro de la aplicacion","Claro que sí, puedes verificar la notificación del aumento de tu crédito dentro de la aplicación. Para hacerlo, entra a tu app de Hey Banco, dirígete a la sección de ""Perfil"" en la parte superior derecha y revisa los comunicados o notificaciones que puedan estar allí. 

Si no encuentras la información que buscas, asegúrate de que todas las verificaciones de tu cuenta estén aprobadas. Si todo está en orden y aún no ves el aumento después de 10 días hábiles, te recomendaría contactar a Atención a Clientes para que te ayuden a resolverlo.

Si tienes alguna otra duda o necesitas más información, ¡aquí estoy para ayudarte!",2025-07-10,"03ce56c1-0dcb-4802-b5f3-764ff04c6357","USR-06353",1,"queja","bloqueo"
